                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6388,                 1.4451,                  1.381,                0.55045,                0.48149,                0.46006,                0.19799,                 2.0096,                 1.8149,                 1.7985,             0.00066485,             0.00066485,             0.00066485
                      2,                 1.4008,                 1.1555,                 1.2753,                0.62698,                0.55086,                0.55728,                0.23419,                 1.9778,                 1.5026,                 1.8327,              0.0013183,              0.0013183,              0.0013183
                      3,                 1.2186,                0.91654,                 1.1856,                0.63767,                0.57498,                0.57581,                0.23934,                 1.9655,                 1.4617,                 1.8462,              0.0019586,              0.0019586,              0.0019586
                      4,                 1.0282,                0.70965,                 1.0919,                0.65748,                0.57169,                0.60445,                 0.2418,                 2.0021,                 1.4408,                 1.8877,              0.0019406,              0.0019406,              0.0019406
                      5,                0.86864,                0.58802,                 1.0209,                0.64772,                 0.5828,                0.61037,                0.25993,                 1.9053,                 1.3684,                 1.7623,              0.0019208,              0.0019208,              0.0019208
                      6,                0.79888,                0.54393,                0.99325,                0.71072,                0.61165,                0.66949,                0.33485,                 1.6952,                 1.1941,                 1.5991,               0.001901,               0.001901,               0.001901
                      7,                0.72808,                0.50019,                0.96381,                0.67364,                0.61527,                0.65591,                0.31967,                 1.6598,                 1.2387,                 1.5878,              0.0018812,              0.0018812,              0.0018812
                      8,                0.69824,                0.47949,                0.95312,                0.65699,                0.60266,                0.63763,                0.30191,                 1.7182,                 1.2911,                 1.5983,              0.0018614,              0.0018614,              0.0018614
                      9,                0.66655,                0.45804,                0.94045,                0.66061,                0.61283,                 0.6525,                0.31032,                 1.6864,                   1.28,                 1.6047,              0.0018416,              0.0018416,              0.0018416
                     10,                0.64322,                 0.4366,                0.93388,                0.63848,                 0.6173,                0.65025,                0.32296,                 1.6054,                 1.2447,                  1.515,              0.0018218,              0.0018218,              0.0018218
                     11,                0.62087,                0.41307,                0.92675,                0.75936,                  0.684,                 0.7313,                0.37958,                 1.6478,                 1.0402,                 1.5766,               0.001802,               0.001802,               0.001802
                     12,                0.60772,                0.39753,                0.91936,                0.74851,                0.66351,                0.71669,                0.36722,                  1.597,                 1.1098,                 1.5234,              0.0017822,              0.0017822,              0.0017822
                     13,                0.58697,                0.38341,                0.91278,                0.76478,                0.68825,                 0.7454,                0.39087,                 1.6155,                 1.0361,                   1.53,              0.0017624,              0.0017624,              0.0017624
                     14,                0.57754,                0.38035,                0.91167,                 0.7466,                0.66883,                0.72943,                0.37685,                 1.6179,                 1.0698,                 1.5366,              0.0017426,              0.0017426,              0.0017426
                     15,                0.65634,                0.46956,                0.98806,                0.63662,                0.58354,                0.61904,                0.30962,                 1.6425,                 1.2417,                 1.7169,              0.0017228,              0.0017228,              0.0017228
                     16,                    nan,                    nan,                    nan,                0.77287,                0.64952,                0.72111,                  0.396,                    nan,                    nan,                    nan,               0.001703,               0.001703,               0.001703
                     17,                    nan,                    nan,                    nan,                0.71669,                0.65479,                 0.7083,                0.37008,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     18,                    nan,                    nan,                    nan,                0.72415,                 0.6259,                0.68738,                0.35828,                    nan,                    nan,                    nan,              0.0016634,              0.0016634,              0.0016634
                     19,                0.53733,                 0.3457,                0.92669,                0.74874,                0.67586,                0.73235,                0.39455,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     20,                0.52783,                0.33656,                0.92247,                0.78949,                0.71102,                0.78186,                0.45492,                    nan,                    nan,                    nan,              0.0016238,              0.0016238,              0.0016238
                     21,                0.52173,                0.33216,                0.91798,                0.79391,                0.72214,                0.78353,                0.44878,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     22,                0.50426,                 0.3217,                 0.9111,                0.75933,                0.68187,                0.73684,                0.40204,                    nan,                    nan,                    nan,              0.0015842,              0.0015842,              0.0015842
                     23,                0.50962,                0.32226,                0.91415,                0.75247,                0.67601,                0.73842,                0.38246,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
